ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): NEW YORK; Name (All Years): FREEPORT UNION FREE SCHOOL DISTRICT; Grade 9 Students [Public School] (All Years: 2018-19 2017-18 2016-17 2015-16 2014-15 2013-14 2012-13 2011-12 2010-11 2009-10 2008-09 2007-08 2006-07 2005-06 2004-05 2003-04 2002-03 2001-02 2000-01 1999-00 1998-99 1997-98 1996-97 1995-96 1994-95): Greater Than Or Equal To 0 and Less Than Or Equal To 100000 

Agency Name,State Name [District] Latest available year,Grade 12 Students [Public School] 2009-10,Grade 12 Students [Public School] 2008-09,Grade 12 Students [Public School] 2007-08,Grade 12 Students [Public School] 2006-07,Grade 12 Students [Public School] 2005-06,Grade 12 Students [Public School] 2004-05,Grade 12 Students [Public School] 2003-04,Grade 12 Students [Public School] 2002-03,Grade 12 Students [Public School] 2001-02,Grade 12 Students [Public School] 2000-01,Grade 12 Students [Public School] 1999-00,Grade 12 Students [Public School] 1998-99,Grade 12 Students [Public School] 1997-98,Grade 12 Students [Public School] 1996-97,Grade 12 Students [Public School] 1995-96,Grade 12 Students [Public School] 1994-95,Grade 11 Students [Public School] 2018-19,Grade 11 Students [Public School] 2017-18,Grade 11 Students [Public School] 2016-17,Grade 11 Students [Public School] 2015-16,Grade 11 Students [Public School] 2014-15,Grade 11 Students [Public School] 2013-14,Grade 11 Students [Public School] 2012-13,Grade 11 Students [Public School] 2011-12,Grade 11 Students [Public School] 2010-11,Grade 11 Students [Public School] 2009-10,Grade 11 Students [Public School] 2008-09,Grade 11 Students [Public School] 2007-08,Grade 11 Students [Public School] 2006-07,Grade 11 Students [Public School] 2005-06,Grade 11 Students [Public School] 2004-05,Grade 11 Students [Public School] 2003-04,Grade 11 Students [Public School] 2002-03,Grade 11 Students [Public School] 2001-02,Grade 11 Students [Public School] 2000-01,Grade 11 Students [Public School] 1999-00,Grade 11 Students [Public School] 1998-99,Grade 11 Students [Public School] 1997-98,Grade 11 Students [Public School] 1996-97,Grade 11 Students [Public School] 1995-96,Grade 11 Students [Public School] 1994-95,Grade 10 Students [Public School] 2018-19,Grade 10 Students [Public School] 2017-18,Grade 10 Students [Public School] 2016-17,Grade 10 Students [Public School] 2015-16,Grade 10 Students [Public School] 2014-15,Grade 10 Students [Public School] 2013-14,Grade 10 Students [Public School] 2012-13,Grade 10 Students [Public School] 2011-12,Grade 10 Students [Public School] 2010-11,Grade 10 Students [Public School] 2009-10,Grade 10 Students [Public School] 2008-09,Grade 10 Students [Public School] 2007-08,Grade 10 Students [Public School] 2006-07,Grade 10 Students [Public School] 2005-06,Grade 10 Students [Public School] 2004-05,Grade 10 Students [Public School] 2003-04,Grade 10 Students [Public School] 2002-03,Grade 10 Students [Public School] 2001-02,Grade 10 Students [Public School] 2000-01,Grade 10 Students [Public School] 1999-00,Grade 10 Students [Public School] 1998-99,Grade 10 Students [Public School] 1997-98,Grade 10 Students [Public School] 1996-97,Grade 10 Students [Public School] 1995-96,Grade 10 Students [Public School] 1994-95,Grade 9 Students [Public School] 2018-19,Grade 9 Students [Public School] 2017-18,Grade 9 Students [Public School] 2016-17,Grade 9 Students [Public School] 2015-16,Grade 9 Students [Public School] 2014-15,Grade 9 Students [Public School] 2013-14,Grade 9 Students [Public School] 2012-13,Grade 9 Students [Public School] 2011-12,Grade 9 Students [Public School] 2010-11,Grade 9 Students [Public School] 2009-10,Grade 9 Students [Public School] 2008-09,Grade 9 Students [Public School] 2007-08,Grade 9 Students [Public School] 2006-07,Grade 9 Students [Public School] 2005-06,Grade 9 Students [Public School] 2004-05,Grade 9 Students [Public School] 2003-04,Grade 9 Students [Public School] 2002-03,Grade 9 Students [Public School] 2001-02,Grade 9 Students [Public School] 2000-01,Grade 9 Students [Public School] 1999-00,Grade 9 Students [Public School] 1998-99,Grade 9 Students [Public School] 1997-98,Grade 9 Students [Public School] 1996-97,Grade 9 Students [Public School] 1995-96,Grade 9 Students [Public School] 1994-95
FREEPORT UNION FREE SCHOOL DISTRICT,New York,384,360,330,284,447,393,377,342,315,372,418,409,344,369,320,391,509,509,485,460,502,478,501,420,526,500,527,539,550,472,519,490,457,509,440,474,504,476,417,483,354,521,563,599,619,521,549,553,633,502,570,570,602,605,602,625,600,624,505,481,538,574,533,529,499,536,606,585,638,701,739,605,661,618,696,626,648,703,659,729,704,737,740,676,634,654,615,642,630,639,560


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Local Education Agency (School District) Universe Survey" 2022-23 v.1a; "Public Elementary/Secondary School Universe Survey" 1994-95 v.1a  1995-96 v.1a  1996-97 v.1a  1997-98 v.1a  1998-99 v.1c  1999-00 v.1b  2000-01 v.1a  2001-02 v.1a  2002-03  v.1a  2003-04 v.1a  2004-05 v.1b  2005-06 v.1a  2006-07 v.1c  2007-08 v.1b  2008-09 v.1b  2009-10 v.2a  2010-11 v.2a  2011-12 v.1a  2012-13 v.2a  2013-14 v.2a  2016-17 v.2a  2017-18 v.1a  2018-19 v.1a; "Public Elementary/Secondary School Universe Survey Membership Data" 2014-15 v.1a  2015-16 v.2a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
